"","Sensor","last_name","first_name","date","type","position","feature_distance","feature_d_speed_0_5","feature_d_speed_5_10","feature_d_speed_10_15","feature_d_speed_15_21","feature_d_speed_21_24","feature_d_speed_24_30","feature_d_speed_over30","feature_hid_d_15","feature_hid_d_21","feature_acc_3mss","feature_dec_3mss","feature_acc_3.5mss","feature_dec_3.5mss","feature_acc_4mss","feature_dec_4mss","feature_sprint_over24","feature_avg_speed","feature_max_speed","feature_max_acc"
"281","20","DEMHASAJ","MIMI",2020-01-08 12:59:14,"game","center forward",5.5,1.09,1.76,1.67,0.74,0.15,0.08,0,0.96,0.23,46,49,29,27,7,8,5,7.18,30.05,4.8
"282","21","MALES","DARIAN",2020-01-08 12:59:14,"game","center forward",6.01,0.91,1.9,1.96,1.05,0.19,0.02,0,1.24,0.21,44,66,22,32,9,19,8,7.82,25.12,4.66
"283","22","BURCH","MARCO",2020-01-08 12:59:14,"game","right back",5.75,1.08,1.85,1.78,0.82,0.16,0.06,0,1.03,0.22,58,60,28,36,7,16,9,7.19,25.86,4.5
"284","23","MISTVAFOVIC","DAVID",2020-01-08 12:59:14,"game","center back",6.49,0.81,2.07,2.29,1.11,0.15,0.05,0,1.29,0.19,49,84,23,43,4,30,3,8.16,27.94,4.19
"285","27","SCHWEGLER","CHRISTIAN",2020-01-08 12:59:14,"game","right back",5.21,1.17,1.75,1.57,0.6,0.1,0.02,0,0.71,0.12,76,76,36,34,9,14,3,6.79,26.18,4.62
"286","28","TIA","CHEF",2020-01-08 12:59:14,"game","center forward",6.16,1.12,1.83,1.66,1.06,0.33,0.16,0,1.53,0.48,65,87,25,54,5,21,11,7.74,29.26,4.79
"287","2","KAKABADZE","OTAR",2020-07-08 18:30:24,"game","right back",5.29,1.72,1.72,1.07,0.58,0.13,0.07,0,0.78,0.2,45,46,28,20,10,9,7,5.9,26.7,4.49
"288","3","BÜRKI","MARCO",2020-07-08 18:30:24,"game","left back",5.15,1.87,1.62,1.03,0.48,0.1,0.05,0,0.62,0.14,49,43,17,20,4,13,6,5.65,26.23,4.44
"289","4","KNEZEVIC","STEFAN",2020-07-08 18:30:24,"game","center back",10.48,2.9,3.57,2.67,1.01,0.15,0.17,0,1.32,0.32,61,61,20,34,9,13,9,6.14,28.62,4.86
"290","5","ALVES","LUCAS",2020-07-08 18:30:24,"game","center back",9.67,2.76,3.35,2.34,0.96,0.12,0.14,0,1.2,0.26,65,77,31,37,20,15,8,5.64,30.04,4.98
"291","9","MARGIOTTA","F",2020-07-08 18:30:24,"game","ran center",0.55,0.2,0.17,0.08,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,5.95,21.81,0
"292","10","ELEKE","BLESSING",2020-07-08 18:30:24,"game","center forward",9.85,3.5,3.38,1.94,0.85,0.16,0.04,0,1.02,0.19,70,96,28,36,11,18,5,5.58,26.29,5.28
